State,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Introduced (Y/N),Introduced date,Chamber where introduced,Effective (Y/N),Effective date,Passed introduced chamber (Y/N),Passed introduced chamber date,Passed second chamber (Y/N),Passed second chamber date,Pending (Y/N),Dead (Y/N),Chamber where died,Dead date,Enacted (Y/N),Act identifier,Enacted Date,Matched keywords
Iowa,SF517,COMMITTEE ON EDUCATION (SUCCESSOR TO SF 221),,https://www.legis.iowa.gov/legislation/BillBook?ba=SF517&ga=91,bill_texts/GA91/SF517.txt,,,,Senate,,,,,,,Y,,,,,,,Foreign
Iowa,SF509,TOWNSEND,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF509&ga=91,bill_texts/GA91/SF509.txt,,,,Senate,,,,,,,Y,,,,,,,Foreign
Iowa,SF646,,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF646&ga=91,bill_texts/GA91/SF646.txt,,,,Senate,,,,,,,Y,,,,,Chapter 1148,,Foreign
Iowa,SF645,,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF645&ga=91,bill_texts/GA91/SF645.txt,,,,Senate,,,,,,,Y,,,,,Chapter 1148,,Alien
Iowa,SF630,COMMITTEE ON APPROPRIATIONS (SUCCESSOR TO SF 307) (SUCCESSOR TO SSB 1083),,https://www.legis.iowa.gov/legislation/BillBook?ba=SF630&ga=91,bill_texts/GA91/SF630.txt,,,,Senate,,,,,,,Y,,,,,Chapter 22,,Foreign
Iowa,SF614,COMMITTEE ON WAYS AND MEANS (SUCCESSOR TO SSB 1156),,https://www.legis.iowa.gov/legislation/BillBook?ba=SF614&ga=91,bill_texts/GA91/SF614.txt,,,,Senate,,,,,,,Y,,,,,Chapter 450,,Visa
Iowa,HSB89,(PROPOSED DEPARTMENT OF REVENUE BILL),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB89&ga=91,bill_texts/GA91/HSB89.txt,,,,House,,,,,,,Y,,,,,Chapter 450,,Visa
Iowa,HSB80,(PROPOSED COMMITTEE ON WAYS AND MEANS BILL BY CHAIRPERSON KAUFMANN),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB80&ga=91,bill_texts/GA91/HSB80.txt,,,,House,,,,,,,Y,,,,,,,Border
Iowa,HSB72,(PROPOSED DEPARTMENT OF MANAGEMENT BILL),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB72&ga=91,bill_texts/GA91/HSB72.txt,,,,House,,,,,,,Y,,,,,Chapter 22,,Foreign
Iowa,HSB71,(PROPOSED DEPARTMENT OF ADMINISTRATIVE SERVICES BILL),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB71&ga=91,bill_texts/GA91/HSB71.txt,,,,House,,,,,,,Y,,,,,Chapter 8,,Foreign
Iowa,HSB54,(PROPOSED COMMITTEE ON HIGHER EDUCATION BILL BY CHAIRPERSON COLLINS),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB54&ga=91,bill_texts/GA91/HSB54.txt,,,,House,,,,,,,Y,,,,,Chapter 22,,Foreign
Iowa,HSB52,(PROPOSED COMMITTEE ON HIGHER EDUCATION BILL BY CHAIRPERSON COLLINS),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB52&ga=91,bill_texts/GA91/HSB52.txt,,,,House,,,,,,,Y,,,,,,,Citizenship
Iowa,HSB37,(PROPOSED COMMITTEE ON JUDICIARY BILL BY CHAIRPERSON HOLT),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB37&ga=91,bill_texts/GA91/HSB37.txt,,,,House,,,,,,,Y,,,,,,,"Immigration, Citizenship, Foreign"
Iowa,HSB30,(PROPOSED COMMITTEE ON EDUCATION BILL BY CHAIRPERSON WHEELER),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB30&ga=91,bill_texts/GA91/HSB30.txt,,,,House,,,,,,,Y,,,,,,,"Immigration, Citizenship"
Iowa,HSB187,(PROPOSED COMMITTEE ON JUDICIARY BILL BY CHAIRPERSON HOLT),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB187&ga=91,bill_texts/GA91/HSB187.txt,,,,House,,,,,,,Y,,,,,,,Immigration
Iowa,HSB177,(PROPOSED COMMITTEE ON STATE GOVERNMENT BILL BY CHAIRPERSON BLOOMINGDALE),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB177&ga=91,bill_texts/GA91/HSB177.txt,,,,House,,,,,,,Y,,,,,,,Foreign
Iowa,HSB141,(PROPOSED COMMITTEE ON JUDICIARY BILL BY CHAIRPERSON HOLT),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB141&ga=91,bill_texts/GA91/HSB141.txt,,,,House,,,,,,,Y,,,,,Chapter 232,,Foreign
Iowa,HSB137,(PROPOSED GOVERNOR BILL),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB137&ga=91,bill_texts/GA91/HSB137.txt,,,,House,,,,,,,Y,,,,,,,"Immigration, Citizenship"
Iowa,HSB132,(PROPOSED COMMITTEE ON AGRICULTURE BILL BY CHAIRPERSON SEXTON),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB132&ga=91,bill_texts/GA91/HSB132.txt,,,,House,,,,,,,Y,,,,,Chapter 182,,Foreign
Iowa,HSB119,(PROPOSED COMMITTEE ON STATE GOVERNMENT BILL BY CHAIRPERSON BLOOMINGDALE),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB119&ga=91,bill_texts/GA91/HSB119.txt,,,,House,,,,,,,Y,,,,,,,Foreign
Iowa,HSB115,(PROPOSED COMMITTEE ON JUDICIARY BILL BY CHAIRPERSON HOLT),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB115&ga=91,bill_texts/GA91/HSB115.txt,,,,House,,,,,,,Y,,,,,Chapter 148,,Foreign
Iowa,HSB109,(PROPOSED SECRETARY OF STATE BILL),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB109&ga=91,bill_texts/GA91/HSB109.txt,,,,House,,,,,,,Y,,,,,,,Foreign
Iowa,HSB293,,,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB293&ga=91,bill_texts/GA91/HSB293.txt,,,,House,,,,,,,Y,,,,,,,Border
Iowa,HSB291,(PROPOSED COMMITTEE ON STATE GOVERNMENT BILL BY CHAIRPERSON BLOOMINGDALE),,https://www.legis.iowa.gov/legislation/BillBook?ba=HSB291&ga=91,bill_texts/GA91/HSB291.txt,,,,House,,,,,,,Y,,,,,,,Foreign
